cell	seurat_clusters	celltype
c820	12	Micro
c821	10	eL2/3
c822	10	eL2/3
c823	3	Oligo
c824	3	Oligo
c825	1	Endo
c826	5	Astro
c827	7	eL4
c828	2	eL6
c829	1	Endo
c830	10	eL2/3
c831	7	eL4
c832	4	eL5
c833	1	Endo
c834	1	Endo
c835	12	Micro
c836	2	eL6
c837	4	eL5
c838	10	eL2/3
c839	1	Endo
c840	9	eL2/3
c841	5	Astro
c842	3	Oligo
c843	2	eL6
c844	5	Astro
c845	6	eL4
c846	5	Astro
c847	10	eL2/3
c848	5	Astro
c849	1	Endo
c850	7	eL4
c851	1	Endo
c852	8sub6	PVALB
c853	8sub1	PVALB
c854	8sub1	PVALB
c855	2	eL6
c856	6	eL4
c857	12	Micro
c858	11	Oligo
c859	10	eL2/3
c860	6	eL4
c861	7	eL4
c862	1	Endo
c863	2	eL6
c864	5	Astro
c865	2	eL6
c866	6	eL4
c867	2	eL6
c868	10	eL2/3
c869	10	eL2/3
c870	8sub3	VIP
c871	3	Oligo
c872	8sub4	RELN
c873	10	eL2/3
c874	5	Astro
c875	6	eL4
c876	12	Micro
c877	12	Micro
c878	2	eL6
c879	9	eL2/3
c880	8sub1	PVALB
c881	4	eL5
c882	6	eL4
c883	8sub3	VIP
c884	3	Oligo
c885	12	Micro
c886	10	eL2/3
c887	6	eL4
c888	4	eL5
c889	7	eL4
c890	11	Oligo
c891	8sub3	VIP
c892	10	eL2/3
c893	3	Oligo
c894	1	Endo
c895	1	Endo
c896	7	eL4
c897	3	Oligo
c898	8sub2	SST
c899	1	Endo
c900	3	Oligo
c901	5	Astro
c902	2	eL6
c903	11	Oligo
c904	2	eL6
c905	2	eL6
c906	2	eL6
c907	8sub1	PVALB
c908	10	eL2/3
c909	5	Astro
c910	7	eL4
c911	7	eL4
c912	10	eL2/3
c913	3	Oligo
c914	11	Oligo
c915	3	Oligo
c916	10	eL2/3
c917	7	eL4
c918	10	eL2/3
c919	11	Oligo
c920	1	Endo
c921	10	eL2/3
c922	8sub4	RELN
c923	10	eL2/3
c924	7	eL4
c925	7	eL4
c926	12	Micro
c927	8sub1	PVALB
c928	6	eL4
c929	2	eL6
c930	4	eL5
c931	11	Oligo
c932	5	Astro
c933	7	eL4
c934	3	Oligo
c935	10	eL2/3
c936	4	eL5
c937	10	eL2/3
c938	8sub2	SST
c939	9	eL2/3
c940	3	Oligo
c941	4	eL5
c942	8sub6	PVALB
c943	6	eL4
c944	4	eL5
c945	6	eL4
c946	10	eL2/3
c947	10	eL2/3
c948	2	eL6
c949	10	eL2/3
c950	8sub3	VIP
c951	2	eL6
c952	10	eL2/3
c953	5	Astro
c954	3	Oligo
c955	5	Astro
c956	7	eL4
c957	3	Oligo
c958	6	eL4
c959	7	eL4
c960	7	eL4
c961	7	eL4
c962	6	eL4
c963	7	eL4
c964	1	Endo
c965	10	eL2/3
c966	12	Micro
c967	3	Oligo
c968	8sub6	PVALB
c969	2	eL6
c970	4	eL5
c971	5	Astro
c972	6	eL4
c973	5	Astro
c974	5	Astro
c975	8sub6	PVALB
c976	3	Oligo
c977	4	eL5
c978	5	Astro
c979	4	eL5
c980	2	eL6
c981	5	Astro
c982	10	eL2/3
c983	5	Astro
c984	7	eL4
c985	5	Astro
c986	4	eL5
c987	1	Endo
c988	2	eL6
c989	8sub1	PVALB
c990	5	Astro
